measure,horizon,n,pearson_r,pearson_p,spearman_rho,spearman_p,significant (p<0.05),survives Bonferroni
mgmt_tone,1d,171,0.03565320264271991,0.643397515226901,0.08608011135910913,0.26294114353975295,,
mgmt_tone,5d,171,0.018619394428271527,0.8090007802340784,0.08359373125015,0.2770297603341671,,
mgmt_tone,10d,171,0.009720441580029474,0.899587914444971,0.046574027407780744,0.5452482570765234,,
remarks_tone,1d,171,0.060205805104696655,0.4340803155363413,0.1428060575515396,0.06242060539765723,,
remarks_tone,5d,171,0.082013921688703,0.2862416792161766,0.16141790865673075,0.03492881041637449,yes,
remarks_tone,10d,171,0.07002981054486981,0.36273820852633654,0.1407060743514052,0.06641415484985876,,
answers_tone,1d,171,0.020882853603078445,0.7863099854259517,0.0364437084503324,0.6360525508873649,,
answers_tone,5d,171,-0.007398431554969443,0.9234897938927435,0.01739746082031344,0.821318263836595,,
answers_tone,10d,171,0.005411275796657582,0.944000158747256,0.006657546739626083,0.9311316493739291,,
analyst_tone,1d,171,0.3451766220818686,3.7718781305544838e-06,0.3755801953584371,4.151395851200879e-07,yes,yes
analyst_tone,5d,171,0.369938990634233,6.361186292277228e-07,0.4087623299013608,2.8491237415742186e-08,yes,yes
analyst_tone,10d,171,0.3526761219990984,2.235042345359132e-06,0.38399452804377565,2.1634987454626954e-07,yes,yes
tone_change,1d,160,0.08972863129281561,0.25916539495603563,0.11275049806633071,0.15574109994772242,,
tone_change,5d,160,0.11729009078949544,0.1396525984668462,0.14206316652994258,0.07313566995790328,,
tone_change,10d,160,0.0633359520572794,0.42622899144607734,0.06903199343724363,0.3857326471916803,,
